x,y,z,a,h,g
.041089799999999996,0,0,0,1.0279,1.0357
.0394844,0,9869e-7,9869e-7,1.0279,1.0357
.0364767,0,.0019244000000000002,6996e-7,1.0279,1.0357
.0315116,0,.0026381,.0012174,1.0279,1.0357
.028523,0,.0026165,.0014550000000000001,1.0279,1.0357
.0252043,0,.0026375,.0015557000000000001,1.0279,1.0357
.0221774,0,.0024691,.0017105,1.0279,1.0357
.018968,0,.0024145,.001663,1.0279,1.0357
.0162722,0,.0022034,.0017714,1.0279,1.0357
.0137607,0,.0019890000000000003,.00204,1.0279,1.0357
.0112867,0,.001811,.0018838,1.0279,1.0357
.009074,0,.0018127,.0017703,1.0279,1.0357
.0071265,0,.0022155,.0014823,1.0279,1.0357
.0031881,0,.002653,.0011851000000000001,1.0279,1.0357
0,0,.003815,5946e-7,1.0279,1.0357
